number, title, artist, danceability, energy, key, loudness, mode, speechiness, acoustiness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature, pronoun, flag 
38, Margaret (feat. Bleachers), Lana Del Rey , 0.452, 0.247, 9, -13.24,1, 0.033, 0.972, 0.132, 0.0577, 0.216, 102.412, 339891, 4, GW, 1 
39, Hours Were the Birds, Adrianne Lenker , 0.673, 0.22, 9, -12.928,1, 0.0399, 0.915, 0.000587, 0.0994, 0.279, 134.931, 191000, 1, T, 0 
40, Casual, Chappell Roan , 0.508, 0.411, 1, -6.95,1, 0.0269, 0.226, 0, 0.0571, 0.34, 131.008, 232796, 4, U, 0 
41, A House In Nebraska, Ethel Cain , 0.245, 0.365, 2, -7.891,1, 0.0343, 0.373, 6.56e-05, 0.108, 0.218, 129.417, 466467, 4, U, 0 
42, Family Tree, Ethel Cain , 0.239, 0.335, 5, -10.154,1, 0.0368, 0.121, 0.0161, 0.114, 0.0779, 95.764, 430613, 4, U, 0 
43, Red Wine Supernova, Chappell Roan , 0.659, 0.825, 9, -4.37,1, 0.043, 0.0163, 0, 0.0809, 0.69, 124.049, 192721, 4, U, 0 
44, Super Graphic Ultra Modern Girl, Chappell Roan , 0.658, 0.904, 1, -4.489,1, 0.0728, 0.0399, 2.18e-06, 0.206, 0.783, 125.88, 183888, 4, U, 0 
45, HOT TO GO!, Chappell Roan , 0.741, 0.761, 6, -4.921,1, 0.0397, 0.0179, 0, 0.274, 0.961, 140.039, 184841, 4, U, 0 
46, Femininomenon, Chappell Roan , 0.609, 0.752, 0, -4.931,0, 0.0512, 0.168, 4.1e-06, 0.0886, 0.286, 124.995, 219711, 4, U, 0 
47, The Grants, Lana Del Rey , 0.362, 0.162, 7, -12.283,1, 0.0367, 0.874, 0.0011, 0.356, 0.129, 123.461, 295202, 4, GW, 1 
48, Fraulein (feat. Tyler Childers), Colter Wall , 0.473, 0.124, 7, -13.245,1, 0.0339, 0.942, 3.49e-05, 0.126, 0.476, 139.584, 143000, 4, GH, 1 
49, Green Bottle, Margot Liotta , 0.458, 0.313, 2, -15.918,1, 0.0479, 0.809, 0.00577, 0.344, 0.587, 93.426, 153622, 4, U, 0 
50, Planet Song, Margot Liotta , 0.455, 0.185, 8, -14.493,1, 0.0443, 0.897, 0, 0.209, 0.298, 80.081, 210281, 4, U, 0 
51, The Creator, Piano Marine Mike , 0.475, 0.267, 0, -11.451,1, 0.0373, 0.989, 0.939, 0.106, 0.146, 123.944, 127263, 4, U, 0 
